"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"1/16/2013","PayPal","MARK PAYPAL","104.99","debit","Shopping","Blue Cash","",""
"1/16/2013","City Parking","CITY,PARKING & TRAFFIC","104.00","debit","Auto & Transport","Chase Sapphire Preferred","",""
"1/15/2013","PayPal","PAYPAL ON EBAY MARK","16.98","debit","Shopping","Blue Cash","",""
"1/17/2013","Amazon","Amazon.com","8.65","debit","Shopping","Amazon.com Rewards Card","",""
"1/17/2013","Amazon","AMAZON MKTPLACE PMTS","29.57","debit","Shopping","Amazon.com Rewards Card","",""
"1/17/2013","Da Sichuan","Da Sichuan","24.85","debit","Restaurants","Chase Sapphire Preferred","",""
"1/16/2013","Burma Superstar","BURMA SUPERSTAR","68.46","debit","Restaurants","Chase Sapphire Preferred","",""
"1/16/2013","Check 7008","SH DRAFT 7008","475.68","debit","Check","Free Checking","",""
"1/15/2013","Starbucks","STARBUCKS #05752 SAN FRAN","7.10","debit","Coffee Shops","Chase Sapphire Preferred","",""
"1/15/2013","Saigon Seafood Restaurant","SAIGON SEAFOOD RESTAURANT","30.00","debit","Restaurants","Chase Sapphire Preferred","",""
"1/15/2013","Netflix","NETFLIX NONE        LOS GATOS2699574563  NONE 320130150043081822","5.43","debit","Movies & DVDs","Blue Cash","",""
"1/14/2013","Chevron","CHEVRON SAMIR H. ALIDAVIS1606082     5307500799 320130140030541839","3.47","debit","Gas & Fuel","Blue Cash","",""
"1/14/2013","Chevron","CHEVRON SAMIR H. ALIDAVIS1606077     5307500799 320130140030541840","27.50","debit","Gas & Fuel","Blue Cash","",""
"1/14/2013","Sierra-At-Tahoe","SIERRA AT TAHOE POS TWIN BRIDGE777021012   530-659-7453 320130140030541842","15.00","debit","Vacation","Blue Cash","",""
"1/14/2013","Sierra-At-Tahoe","SIERRA AT TAHOE POS TWIN BRIDGE777021010   530-659-7453 320130140030541841","100.00","debit","Vacation","Blue Cash","",""
"1/14/2013","Orchid","ORCHID AUTHENTIC THAI CUI","26.10","debit","Restaurants","Chase Sapphire Preferred","",""
"1/14/2013","Wendy's","WENDYS OF PINOLE","14.24","debit","Fast Food","Chase Sapphire Preferred","",""
"1/14/2013","Heavenly Lod","HEAVENLY - BOULDER LOD","13.66","debit","Restaurants","Chase Sapphire Preferred","",""
"1/14/2013","Wells Fargo","WITHDRAW WELLS FARGO DLR DRAFT 130114","357.60","debit","Auto Payment","Free Checking","",""
"1/14/2013","Transfer to Chase Sapphire Preferred","WITHDRAW CHASE AUTOPAY 130110","2121.13","debit","Credit Card Payment","Free Checking","",""
